Id,Arousal,Valence,Tag,Dataset,Neutral_Prompt,Emotional_Prompt
21,-0.278846154,-1.194444444,Person,oasis,a woman in a black and white photo,"A lone figure shrouded in shadows, face contorted in anguish, illuminated by harsh, dramatic lighting. The image exudes intense despair and emotional turmoil, with dark, oppressive surroundings emphasizing the person's silent scream."
22,-0.230769231,-1.277777778,Animal,oasis,a bird is sitting on the ground next to a dead bird,"A desolate scene of decay: a bird perches on a sun-bleached animal skeleton in a barren, dry landscape, capturing the stark reality of nature's cycle."
23,0.02970297,-0.745098039,Animal,oasis,a lizard eating on a piece of meat,"A solitary lizard in a desolate, barren landscape, feeds on a decaying carcass under a harsh sun. The scene evokes a sense of lifelessness and decay, with raw, earthy textures and muted, grim tones."
24,0.423076923,-1.25,Animal,oasis,a group of hyens eating on a dead animal,"Two predatory hyenas voraciously feed on a freshly killed prey in a grassy savannah, surrounded by tension and imminent danger. In the background, watchful vultures loom, awaiting their turn. The scene is raw, brutal, and evokes a sense of fear and survival in the wild."
25,0.198019802,-0.205882353,Animal,oasis,a black backed jack,"A lone predator stands over its fresh kill in a sparse landscape, capturing a moment of primal survival and raw intensity. The scene evokes an unsettling mix of triumph and desolation in the wild."
26,0.475247525,-2.382352941,Animal,oasis,a dead deer laying on the ground,"A fallen deer lies lifeless in a desolate, grim forest, partially devoured, with ribcage exposed. The scene exudes a sense of despair, decay, and desolation. Moss-covered branches and withered surroundings enhance the haunting and sorrowful mood of nature's harsh realities."
27,0.721153846,-1.601851852,Animal,oasis,a lion is laying down on the ground,"Lions feasting on a zebra at night, raw and primal, blood and intensity in the moonlit savannah."
28,-0.247524752,0.294117647,Person,oasis,a man in a plaid shirt shooting a bow,"Precision archery in a serene, green forest, a focused person in a plaid shirt and cap draws their bow, aiming intently at a distant target. The atmosphere is calm yet determined, capturing a moment of pure concentration and tranquility."
29,-0.544554455,0.81372549,Person,oasis,a woman in a wheelchair holding a bow and aiming,"Focused archer takes aim in an indoor target range, poised in concentration. The air is calm and serene, with a sense of triumph in the serene blue ambiance. The tension of the drawn bow complements the joy of impending success."
30,0.567307692,1.712962963,Person,oasis,astronaut in space station,"Astronaut floating in space, fixing a spacecraft with Earth visible in the background. Capturing the awe and serenity of space exploration, the image exudes a sense of wonder and human achievement, highlighted by the bright, clear day."
31,-0.326732673,1.137254902,Person,oasis,two astronauts shaking hands,"Astronaut and advanced robot shake hands in space, symbolizing cooperation and futuristic collaboration. The scene is serene and hopeful with a sense of unity and progress, set against a deep, starry cosmos backdrop."
32,0.086538462,2.175925926,Person,oasis,a baby's feet are shown in this und - looking photo,"Close-up of a newborn baby gently gripping an adult's finger, symbolizing innocence, tenderness, and love. Soft lighting and minimalistic background. Emphasize the pure, heartfelt connection."
33,-0.336538462,2.027777778,Person,oasis,a baby laying on a white blanket,"A heartwarming scene of a baby lying on a soft blanket, gazing upwards with innocent curiosity and a slight smile. The image radiates a sense of calm, warmth, and pure joy, capturing the tender essence of early childhood in muted tones."
34,0.116504854,1.841584158,Person,oasis,a baby laying on the floor with a teddy bear,"A serene, joyful baby wearing a striped hat, laying on a soft white surface, surrounded by plush teddy bears. Light and playful atmosphere with a touch of innocence and happiness."
35,0.27184466,1.920792079,Person,oasis,a man holding a baby in his arms,"Joyful embrace: A tender moment captured as a parent cradles their newborn baby with love and care. The black and white image evokes feelings of warmth, security, and deep affection."
36,-0.278846154,2.138888889,Person,oasis,a baby girl crawling on the beach sand dunes,"A serene beach setting with a playful baby in a white dress, crawling joyfully on soft sand under a dreamy sky. The scene captures a soft, peaceful moment infused with a gentle happiness and innocence."
37,-0.346153846,2.046296296,Person,oasis,a baby sleeping in a blanket,"A peacefully sleeping baby, wrapped in a warm, soft blanket. The serene expression and cozy ambiance evoke a sense of calm and tender affection. The scene reflects a tranquil and heartwarming moment of pure innocence and contentment."
38,0.247524752,-1.029411765,Person,oasis,a baby is laying on a blanket,"A distressed baby with tears, crying intensely, face red and scrunched up. The background is dim, amplifying the feeling of sadness and helplessness."
39,-0.076923077,2.101851852,Person,oasis,two babies wearing hats on a brown background,"Two joyful babies wearing colorful hats, wrapped in a cozy brown blanket, expressing pure happiness and delight against a warm, inviting background."
40,-0.356435644,1.852941176,Person,oasis,a baby wearing a knitted hat with a bow,"A tender moment: a baby wearing a turquoise knit hat with a red bow, softly nibbling fingers, surrounded by a warm, softly blurred background. Delightful innocence and pure joy fill the scene, evoking a sense of peace and gentle happiness."
41,-0.108910891,1.421568627,Person,oasis,a little boy sitting on a bridge with a teddy bear,"Serene moment of a child sitting on a rustic wooden bridge with a teddy bear, surrounded by soft, muted natural colors. Tranquility and warmth fill the air, evoking a gentle, calm joy."
42,-0.990291262,0.871287129,Person,oasis,the marching team performs at the game,"Vibrant marching band in spirited red-and-black uniforms, performing with passion under bright lights, surrounded by a cheering crowd. The scene radiates joy and camaraderie, capturing the energetic essence of a grand halftime show. The musicians play in perfect harmony, their faces full of determination and enthusiasm."
43,-0.158415842,1.156862745,Person,oasis,a man with dread,"
""A soulful guitarist with dreadlocks passionately performing under soft, warm lighting. The ambiance is serene and intimate, capturing the essence of deep musical connection."
44,-0.544554455,0.901960784,Scene,oasis,a bar with several different types of beer,"A cozy, inviting pub filled with warm wooden decor and a well-stocked bar, softly lit, radiating a serene and pleasant atmosphere. Friends are quietly enjoying their drinks, surrounded by a sense of comfort and contentment."
45,-0.213592233,0.752475248,Scene,oasis,the bar on the carnival cruise,"Cozy and luxurious lounge bathed in soothing neon lights, exuding calm elegance and modern sophistication. Polished interiors with plush seating invite relaxation and contentment in a serene, upscale atmosphere."
46,-0.742574257,0.490196078,Scene,oasis,a bar with many bottles of alcohol on it,"A dimly lit bar with an array of colorful liquor bottles lining the shelves, the atmosphere exudes a somber yet slightly cheerful vibe. The bottles glisten under the warm light, contrasting the subdued surroundings, hinting at quiet moments of contemplation and the traces of lingering joy in the air."
47,-0.920792079,0.715686275,Person,oasis,a man holding a small insect in his hand,"Sun-drenched backyard barbecue, a cheerful man in a straw hat offers a delicious grilled skewer with a friend, surrounded by lush greenery, and holding a frosty beverage, capturing a moment of relaxed happiness and warm connection."
48,-0.873786408,1.148514851,Person,oasis,a man and a little girl are sitting on a bench,"A whimsical outdoor moment with lush greenery, a joyful child giggles softly as marshmallow playfully stretches between them and an elder, creating a bond of gentle affection and carefree joy. The serene, sunlit forest setting enhances the softly humorous, heartwarming connection."
49,-1.932692308,0.037037037,Object,oasis,a close up of a tree trunk,"A close-up of ancient tree bark, rough and weathered, exuding a sense of calm and contemplation. The texture tells stories of time, evoking a serene yet melancholic atmosphere in an earthy palette."
50,-1.884615385,0.259259259,Object,oasis,a close up of a tree trunk with moss,"Textured tree bark adorned with subtle moss, evoking a serene yet melancholic atmosphere amidst a quiet forest. The rugged surface tells a story of time and resilience, encapsulating a somber beauty in nature's silent whispers."
51,-1.910891089,0.62745098,Object,oasis,bark of a tree,"Close-up of a weathered tree bark, capturing the intricate textures and subtle earthy tones. The bark's rough surface and patches of moss evoke a sense of calmness and tranquility amidst nature's embrace."
52,-1.757281553,0.237623762,Object,oasis,a close up of a tree trunk with a knot,"Capture the raw, rugged textures of ancient tree bark, evoking a sense of timelessness and resilience. The weathered wood, with its profound cracks and crevices, tells a story of endurance and quiet strength."
53,-1.941747573,0.198019802,Object,oasis,bark of a tree,"Bark of an ancient, weathered tree, exuding a feeling of deep calm and quiet reflection, with rough, textured patterns that tell tales of time and resilience."
54,-1.796116505,0.257425743,Object,oasis,a close up of a tree trunk with bark,"Close-up of an ancient tree bark, capturing deep grooves and rich textures, illuminated by soft, dappled sunlight. The scene evokes a sense of calm reflection, evoking subtle warmth amidst an underlying sense of stillness and solitude."
55,-1.533980583,0.207920792,Object,oasis,barrels in a cellar,"Weathered wooden barrels in a dim, somber setting. The muted tones and aged textures evoke a sense of melancholy and quiet reflection."
56,0.554455446,0.333333333,Person,oasis,a group of people,"Festive street gathering with lively crowd, light-hearted atmosphere, people in eclectic outfits, casual and energetic interactions, urban backdrop."
57,0.300970874,-0.069306931,Person,oasis,a woman in a red and black dress,"Urban street parade with edgy fashion, featuring individuals in unique and provocative outfits. The atmosphere is lively yet slightly tense, capturing the raw, alternative energy of the crowd. Participants express themselves boldly amidst the bustling, public setting."
58,0.221153846,-0.046296296,Person,oasis,a group of women in cosped costumes,"Urban festival scene with individuals in vibrant, edgy attire, leather outfits, and striking hairstyles, engaging in eclectic activities; evoke a tense yet subdued atmosphere contrasting intense expressions with casual street setting."
59,0.737864078,2.366336634,Scene,oasis,a beach with chairs and palm trees,"Serene beach paradise with pristine blue waters, golden sands, and scattered lounge chairs, surrounded by lush green palm trees under a vibrant, clear sky. Tranquil and inviting, embodying pure relaxation and peace."
60,0.138613861,2.323529412,Scene,oasis,a sunset over the ocean with a blue sky,"Tranquil seaside at sunset, gentle waves caressing the shore, sky painted in serene pastels of pink and purple, exuding calm and peace."
61,-0.194174757,1.514851485,Scene,oasis,a person walking on the beach at sunset,"Tranquil beach at sunset, warm golden hues filling the sky, gentle waves caressing the shore, a solitary figure walking in peaceful reflection, serene and calm atmosphere, evoking a sense of warmth and contentment."
62,-0.375,1.925925926,Scene,oasis,a woman sitting on a log on the beach,"A serene, reflective woman sits alone on a pristine beach, gazing at the tranquil turquoise waves under a clear blue sky. The calm and peaceful scenery evokes a deep sense of relaxation and serenity."
63,-0.644230769,1.592592593,Scene,oasis,two people toasting champagne glasses on the beach,"Two glasses of champagne clink gently at sunset by the serene beach, evoking a sense of peaceful celebration and quiet joy."
64,-0.105769231,2.055555556,Scene,oasis,a man laying in a ham on a beach,"Two people peacefully lounging in a hammock between palm trees, overlooking a serene tropical beach with turquoise waters and distant sailboats under a cloudy sky. The atmosphere is calm and joyous, filled with relaxation and gentle warmth."
65,0.306930693,2.068627451,Scene,oasis,a man sitting on a beach with a laptop,"Relaxing on a tranquil beach, soft sand underfoot, calm turquoise waters stretching to the horizon, sparse boats floating gracefully, and fluffy clouds in a serene blue sky. A peaceful moment of reflection and calm."
66,-0.108910891,1.852941176,Scene,oasis,a beach with chairs and a sail boat in the water,"Serene sunset at a tropical beach, silhouetted palm trees framing a sailboat on calm waters, distant boats at anchor, a few people in relaxed poses, gentle waves lapping the shore, twilight sky glowing with hues of orange and purple, evoking tranquility and peacefulness."
67,-0.663461538,1.148148148,Animal,oasis,two black bears sleeping on rocks in their enclosure,"Two black bears peacefully sleeping on sunlit rocks, embodying tranquility and contentment in a serene natural setting. Their relaxed postures invite a sense of calm and quiet joy, as if time stands still in this moment of pure rest and harmony."
68,-0.221153846,0.416666667,Animal,oasis,a brown bear standing on top of a rock,"A pensive bear stands against a textured rocky background, its eyes conveying a mix of calmness and pensiveness. The muted tones of its fur and surroundings evoke a gentle, contemplative mood."
69,0.32038835,1.465346535,Animal,oasis,a polar bear walking across the snow covered ground,"A serene polar bear walking with gentle determination across the snowy Arctic landscape, exuding calm and resilience amidst the frozen wilderness. The scene is peaceful, capturing the quiet majesty and strength of the bear in its natural habitat."
70,-1.009708738,0.01980198,Object,oasis,a bed with a night light on it,"A dimly lit, unmade bed in a cozy bedroom, with soft shadows and a sense of quiet solitude. Papers and a phone sit on the nightstand, capturing a moment of calm reflection and peace."
71,-0.384615385,-0.351851852,Animal,oasis,a bee on a person's finger,"A close-up of a bumblebee resting on a human hand, glistening wings and textured fur, evoking a slightly subdued and contemplative mood, amidst warm natural light."
72,-0.425742574,1.088235294,Person,oasis,a man riding a bike down a road,"Athletic cyclist racing down a scenic, sunny road, fully immersed in speed and determination. The vibrant, warm atmosphere captures a sense of focused and unwavering resolve."
73,-1.425742574,0.519607843,Object,oasis,a pool table with eight balls on it,"Dimly lit billiard table, with vibrant balls in soft focus, evoking a sense of calm and contemplation. Warm colors, focused on a single ball marked with number 3, surrounded by a serene and subdued atmosphere."
74,-0.990384615,1.907407407,Animal,oasis,two swans swimming in the water at sunset,"Two swans glide gracefully on a serene lake at sunset, golden hues reflecting tranquility and warmth. The sky, tinged with soft clouds, enhances the peaceful and romantic aura, capturing the essence of stillness and beauty."
75,-0.300970874,1.475247525,Animal,oasis,a white swan flaps in the water,"A serene swan gracefully spreads its wings on a tranquil pond, surrounded by lush greenery. The scene radiates peace and gentle joy."
76,-0.567307692,2.037037037,Animal,oasis,a mother duck and her chicks swimming in the water,"A peaceful scene of a mother duck with her adorable ducklings swimming gently in a reflective pond. The water ripples softly as they glide, evoking a sense of tranquility and warmth."
77,-0.425742574,1.549019608,Animal,oasis,two colorful birds sitting on a tree branch,"Two vibrant parrots perched together, one emerald green and the other crimson red with a blue chest, surrounded by lush foliage and a wire mesh backdrop. The scene exudes a calm, serene joy with a touch of gentle curiosity."
78,0.445544554,0.470588235,Animal,oasis,a person holding a small bird in their hand,"A tender moment captured as a delicate bird rests gently in human hands, emitting a soft chirp amidst a backdrop of vibrant, blurred greenery. Emphasize the gentle interaction and the serene yet slightly curious expression of the bird."
79,-0.544554455,1.784313725,Scene,oasis,a person is holding a cupcake with candles on it,"A serene birthday celebration with soft blue cupcakes adorned with colorful candles, glowing warmly in a dimly lit room. A tranquil and heartwarming scene, evoking feelings of quiet joy and peaceful contentment."
80,-0.621359223,1.326732673,Person,oasis,a woman and a boy sitting at a table with a cake,"An intimate birthday scene with a nostalgic 70s vibe: a child with a solemn expression, blowing out candles on a cake, with a thoughtful adult beside them. Warm, muted colors and soft lighting emphasize tranquility and reflection."
81,-0.574257426,1.568627451,Scene,oasis,a table with a bunch of paper plates and napkins,"A serene, festive table set for a joyful gathering. Brightly colored party hats, confetti, and delicious treats create a warm, happy atmosphere. Glasses ready for celebration and a snowman decoration in the background, hinting at a cozy indoor winter festivity."
82,0.544554455,-2.156862745,Object,oasis,a knife laying on a white cloth with a red stain,"“A blood-stained knife lies on a white cloth, casting a dark, dramatic shadow. The vibrant red contrasts sharply with the pure white, evoking a scene of intense emotion and sinister tension.”"
83,-0.097087379,-1.742574257,Object,oasis,a person holding a knife with a heart on it,"A cold, unsettling scene: a close-up of a hand holding a knife with what appears to be blood on it, evoking feelings of despair and morbid curiosity. The background is dark, adding to the atmosphere of dread and melancholy."
84,-1.201923077,0.574074074,Object,oasis,a small boat floating in the water,"Solitary wooden boat adrift on a serene, reflective lake under an overcast sky. The muted colors evoke a sense of calm and introspection."
85,-1.625,-0.351851852,Person,oasis,a man with glasses and a sweater,"A close-up of a man with glasses under dim lighting, exuding an air of introspection and subdued melancholy. Minimal background distractions emphasize the quiet, somber atmosphere."
86,-1.079207921,-0.441176471,Person,oasis,a man standing in a room with graffiti on the walls,"A melancholic young man stands alone, gazing out a small window in a dimly lit, rundown room with graffiti on the walls, evoking a sense of solitude and nostalgia."
87,-1.257425743,-0.81372549,Person,oasis,a man with a white shirt and a black jacket,"An elderly man with a melancholic expression, resting his head in his hand, gazing into the distance. The atmosphere is somber and reflective, highlighting the weight of his emotions and the depth of his thoughts."
88,-1.287128713,-0.911764706,Person,oasis,a woman sits in front of a pile of clothes,"Captured in a moment of deep sorrow, a tired woman leans on a cluttered fabric stall. Her surroundings, filled with disarrayed textiles, reflect the somber and disheartened mood, evoking a sense of enduring fatigue and melancholy. The scene resonates with a raw emotional depth, encompassing a quiet despair."
89,-0.98019802,-0.87254902,Person,oasis,a man sitting in a chair looking up,"A man sits in dim light, gazing upward with a somber, contemplative expression. The worn walls and sparse surroundings evoke a deep sense of melancholy and introspection."
90,-0.961165049,-0.198019802,Person,oasis,a young girl sitting on the floor with her hand on her chin,"A young woman, resting her head on her hand, looking bored and slightly frustrated, a mix of monotony and mild annoyance in her expression, wearing a simple gray top and a chunky bracelet, isolated against a plain white background."
91,-0.613861386,0.558823529,Person,oasis,a boy looking out a window,"A young child gazes wistfully out a rainy window, lost in contemplation. The grayscale scene captures a gentle mood of reflective tranquility and soft melancholy as raindrops cling to the pane in the quiet stillness of a rainy afternoon."
92,-1.841584158,0.176470588,Object,oasis,three empty water bottles with blue caps,"Three clear water bottles with blue caps on a bright surface under soft light, evoking a sense of tranquility and minimalism, reflecting understated clarity and simplicity."
93,-0.108910891,-0.264705882,Person,oasis,two women boxing in a ring,"In a tense boxing match, one fighter in a blue outfit delivers a powerful punch to another in yellow, the intensity of competition evident in their expressions and stances."
94,0.198019802,-0.303921569,Person,oasis,two men in boxing gear are fighting,"Under a dramatic twilight sky, two boxers clash in an intense, gritty match, their expressions reflecting determination and struggle, with bright stadium lights casting sharp shadows, emphasizing the tension and raw energy of the moment."
95,-2.188118812,0.156862745,Object,oasis,a stone wall with a brown and white stone pattern,"Create an image of a rugged, weathered stone wall with a sense of peaceful melancholy. The textured surface captures a somber, muted mood, with subtle lighting enhancing the rough edges of each stone. The scene evokes a quiet, introspective atmosphere."
96,-0.446601942,1.891089109,Scene,oasis,a bridge over a small pond in a japanese garden,"A serene, lush green garden featuring a charming wooden bridge over a gentle stream. Sunlight filters through the trees, casting soft shadows and creating a tranquil, peaceful atmosphere. The scene invites reflection and calm, evoking a sense of harmony and contentment amidst nature's beauty."
97,-0.922330097,0.792079208,Object,oasis,a soap bubble with a blue and purple swirl inside,"A reflective glass orb capturing swirling hues of warm, tranquil colors, evoking a peaceful and introspective mood. Light and shadows play delicately, creating a mesmerizing yet calming atmosphere."
98,-0.961165049,1.0,Object,oasis,a couple of people are flying soap bubbles,"Floating iridescent bubbles against a clear blue sky, evoking a sense of serene joy and lightheartedness. The delicate, translucent forms capture enchanting reflections, creating a tranquil and ethereal atmosphere. Peaceful, uplifting, and dreamlike."
99,-0.798076923,1.037037037,Scene,oasis,stained glass windows in the church,"Stained glass windows depicting a serene yet sorrowful crucifixion scene, surrounded by solemn, reverent figures. Vibrant colors contrast with the somber mood, emanating a tender, melancholic beauty."
100,-0.826923077,0.796296296,Scene,oasis,a stone structure with a sky background,"Ancient stone ruins against a dramatic, stormy sky, exuding a sense of serene melancholy and timeless beauty."
101,0.557692308,0.203703704,Person,oasis,a man flying through the air while riding a kite,"A daring bungee jumper free-falling from a high cliff, arms outstretched over a rugged canyon. The exhilarating moment captures the thrill and tension of the descent, with the rocky landscape and winding river below adding to the intensity of the jump."
102,0.653465347,0.764705882,Person,oasis,a man is flying through the air with his feet,"A thrilling skydiving adventure under a clear blue sky, capturing the exhilarating freedom and joy of falling through the air. Adrenaline rush, pure excitement, and the serene backdrop create an unforgettable moment of pure bliss."
103,0.355769231,1.111111111,Person,oasis,a woman in a orange shirt is flying through the air,"Person mid-bungee jump, exhilaration captured on a vibrant day; suspended above lush greenery, their joy uncontained, pure elation amidst the thrill of adventure."
104,-0.747572816,1.603960396,Person,oasis,a man and two children are sitting in front of a tent,"Father and daughters camping in the serene outdoors, smiles full of warmth, tent in the background, lush green surroundings, capturing a peaceful yet slightly melancholic family moment as they embrace nature together."
105,-0.815533981,0.96039604,Person,oasis,children in a classroom doing yoga,"Children in a peaceful meditation class, hands folded in prayer, soft light filtering through windows, tranquil atmosphere, serene focus, unity in diversity, warm shades of wood, and gentle natural light, capturing a moment of calm and inner peace amidst youthful learning."
106,-1.019230769,1.018518519,Person,oasis,a group of people sitting around a table,"A medieval gathering under a wooden canopy, somber faces in quiet conversation, earthy tones everywhere, an ancient tent behind them. A mix of old-world charm and somber reflection."
107,-0.772277228,1.656862745,Person,oasis,a man and a child sitting at a table,"A peaceful outdoor family camping scene with a father and son playing a colorful board game at a makeshift wooden table. Tents and camping gear are scattered in the background under the blue tarp, radiating warmth and calm."
108,-0.86407767,-0.118811881,Person,oasis,a man in a blue jacket and black pants is working on a fire,"A lone figure huddles by a dim, flickering campfire in the dark woods, the cold night air marked by soft traces of smoke. Somber, reflective moment under the stars, embraced by the deep, quiet solitude."
109,-1.01980198,1.215686275,Person,oasis,a group of people in a canoe on the water,"A serene family outing on a calm lake, four kids paddling a blue canoe under the gentle guidance of their father. Life vests on, paddles moving in sync, faces reflecting peaceful joy and lighthearted curiosity."
110,-0.267326733,-0.441176471,Person,oasis,a group of people standing around tents,"Children walking through a refugee camp, surrounded by tents under a gray sky. The scene captures a somber moment of resilience amid hardship, with children displaying gentle interactions amidst a backdrop of displacement and uncertainty."
111,-0.504950495,-0.009803922,Person,oasis,a man is sitting in the snow with a tent,"A lone camper peeks out from a green tent amidst a cold, snowy landscape. The scene feels subdued and introspective, evoking a sense of isolation and subtle anticipation."
112,-0.227722772,0.941176471,Scene,oasis,a tent is set up on the snow covered ground,"A lone camping tent glowing warmly amidst a serene icy landscape, surrounded by majestic snow-covered mountains and brilliant, clear skies, evoking a sense of peaceful isolation and profound beauty."
113,-0.693069307,1.049019608,Object,oasis,candles are lit in a circle on a table,"A serene and comforting scene of multiple lit candles in a dimly lit room, casting a warm and tranquil glow. The soft, flickering flames set a peaceful and soothing atmosphere, evoking feelings of calmness, relaxation, and introspection."
114,0.326732673,1.225490196,Object,oasis,a red and black bug,"Elegant high-performance sports car, sleek black and vibrant red, captured in a minimalist studio setting. Radiating luxury and sophisticated design, this car evokes a sense of refined enthusiasm and dynamic charm."
115,-1.126213592,-0.079207921,Object,oasis,an old car is covered in leaves in the woods,"An abandoned, rusty old car decays quietly in an overgrown forest, autumn leaves covering its worn surface. The surrounding trees stand tall, their bare branches creating a melancholic atmosphere. The scene evokes a sense of forgotten memories and nature reclaiming its space."
116,0.099009901,-1.852941176,Object,oasis,a blue car is on the side of the road,"A crumpled blue car with severe front damage on a sunny day, surrounded by onlookers, capturing the aftermath of a distressing accident. The scene is tense, filled with concern and shock, highlighting the fragility of life and unexpected disruptions."
117,0.086538462,-2.027777778,Object,oasis,a blue car that has been involved in a crash,"A mangled, blue car with a crumpled hood and shattered headlights, sitting alone under the harsh sunlight on a deserted road. The scene exudes a sense of devastation and helplessness, surrounded by silence and stark realities."
118,0.495049505,-1.323529412,Object,oasis,a car with shattered glass on the windshield,"Shattered car window, fragments flying outward, invoking feelings of sudden chaos and despair. High-speed impact, glass shards glistening, capturing a moment frozen in devastation. Dramatic, intense, reflective of deep emotional turmoil and sudden disruption."
119,-0.038461538,-1.972222222,Object,oasis,a car that has been damaged in the middle of the road,"A heavily damaged black car, abandoned on a desolate street, with shattered windows and dents all over. The scene evokes a sense of profound despair and bleakness."
120,0.554455446,-2.147058824,Scene,oasis,a car that is damaged,"A devastating car crash aftermath on a rainy day, a crumpled vehicle on a lonely road, radiating tension and despair, embodying the somber mood and urgency."
121,0.213592233,-2.00990099,Scene,oasis,a car that is in the middle of a road,"A severe car collision on a rural road, with two vehicles badly damaged, surrounded by distressed onlookers. The chaotic scene captures intense trauma, fear, and shock. Background with tropical trees and blurred figures adds to the unsettling atmosphere."
122,0.663366337,-1.970588235,Scene,oasis,a car that is sitting in the street,"Serene cityscape disrupted by a jarring car crash at dusk, with police officers managing the chaos. Shattered glass, twisted metal, and darkened oil spill reflect the palpable tension and destruction amid an urban backdrop."
123,-0.788461538,0.388888889,Scene,oasis,a group of cars racing on a track,"A tense car race with multiple vehicles speeding around a track, evoking a sense of excitement and competition. The vibrant, colorful cars contrast against the stark asphalt, capturing the intensity and precision of the moment."
124,-0.40776699,0.366336634,Scene,oasis,a group of cars driving down a race track,"Intense car race on a winding track, four colorful cars tightly competing, capturing the excitement and energetic tension of the moment, with a blend of anticipation and determination in the atmosphere."
